node	in_swissprot
Q7X2H8	TRUE
P56216	TRUE
Q9UJM8	TRUE
Q9NYQ3	TRUE
E4QP00	TRUE
Q07523	TRUE
Q0PCD7	TRUE
Q9LRR9	TRUE
Q10CE4	TRUE
P0CS93	TRUE
Q6QWR1	TRUE
Q8J2V8	TRUE
Q6UG02	TRUE
Q9NYQ2	TRUE
Q9WU19	TRUE
P12676	TRUE
P05414	TRUE
Q5G234	TRUE
Q53U15	TRUE
P79076	TRUE
O93852	TRUE
P93762	TRUE
O49506	TRUE
P54783	TRUE
P22637	TRUE
Q8J136	TRUE
P04842	TRUE
B5WWZ8	TRUE
Q24JJ8	TRUE
P58710	TRUE
P10867	TRUE
Q8H3I4	TRUE
Q00922	TRUE
P37339	TRUE
Q7FAS1	TRUE
P13006	TRUE
Q9LW56	TRUE
P9WMV9	TRUE
Q7XPR4	TRUE
D7UQ40	TRUE
B8B8K5	TRUE
Q01KC2	TRUE
P59097	TRUE
F2QY27	TRUE
Q6YT73	TRUE
P04841	TRUE
Q9LJH5	TRUE
B8AKX6	TRUE
B8B7C5	TRUE
B8AUI3	TRUE
Q9LRS0	TRUE
Q9AJD6	TRUE
O86963	TRUE
Q8EEB0	TRUE
F2R038	TRUE
Q6NQ66	TRUE
P81156	TRUE
O52792	TRUE
O81030	TRUE
Q9LYD8	TRUE
I1S2N3	TRUE
Q3ZC33	TRUE
Q3ZBW2	TRUE
Q8HXW0	TRUE
Q90YK3	TRUE
C4R702	TRUE
Q54E41	TRUE
P35596	TRUE
P9WMV8	TRUE
Q9KX73	TRUE
Q5B2E9	TRUE
O65709	TRUE
Q9ZWB9	TRUE
Q9ZBU1	TRUE
Q94BP3	TRUE
Q9C614	TRUE
Q75ZP8	TRUE
Q2MF66	TRUE
Q9HDX8	TRUE
O81032	TRUE
Q9FM82	TRUE
Q6FS20	TRUE
Q6CSY3	TRUE
Q7SGY1	TRUE
Q752Y3	TRUE
Q6BZA0	TRUE
Q9CG65	TRUE
Q92452	TRUE
Q5XAK0	TRUE
Q8NZX0	TRUE
Q9FM84	TRUE
Q99YI8	TRUE
B5WWZ9	TRUE
P0DB20	TRUE
P0DB21	TRUE
Q6CG88	TRUE
P21800	TRUE
P16101	TRUE
