protein;glycolate;lactate;2-hydroxyglutarate;2-hydroxyoctanoate;2-hydroxystearate;mandelate
A0A011QK89;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
A0A021XIZ9;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A077SBA9;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
A0A090SY56;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0B2PSV8;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0D6I3R9;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0H2LZ12;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0J1FVG5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0K2AU21;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0N7HBH8;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0P7Z009;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0R3K2G2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
A0A0U6K8E5;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
B8MKR3;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
B8MMC0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
B9NTK7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
C2K1F0;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE
D1A2X8;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
D8N7C7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E6SCX5;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
F6CI10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
F9UTP6;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
F9Y7M7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
I7HM50;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
M7MTF7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Q15TJ7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Q5FIR1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Q5WFZ3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Q6L2S1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Q92NB8;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
R0EVG9;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
S2DJ52;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
U2ENB5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
V6AP96;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
W6I5R7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
X8B5I2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
