node	synthesized	substrate_available	soluble	active
A0A009NBJ7	True	True	False	
A0A011R8E6	True	True	False	
A0A017H745	True	True	False	
A0A024H7W1	True	True	True	True
A0A073CBY9	True	True	True	True
A0A075HNX4	True	True	False	
A0A085F5E1	True	False		
A0A085FLP7	True	True	True	True
A0A087D1R1	True	True	True	True
A0A087RXW1	True	True	True	True
A0A090SES2	True	True	True	False
A0A0A1ZY49	True	True	False	
A0A0A8UQ43	True	True	True	True
A0A0B2PFM1	True	True	False	
A0A0C4YFD9	True	True	False	
A0A0C5CCL2	True	True	True	True
A0A0D6SSY4	True	True	False	
A0A0D6UPR3	True	True	True	False
A0A0D6UVV4	True	True	False	
A0A0D8HWN7	True	True	False	
A0A0D8HYB4	True	True	False	
A0A0E9C319	True	True	True	False
A0A0F0C8R9	True	True	False	
A0A0F0KK17	True	True	False	
A0A0F4YNJ0	True	True	False	
A0A0F4YPS7	True	True	False	
A0A0F8B231	True	True	False	
A0A0F8B4A0	True	True	False	
A0A0F8CXS8	True	True	False	
A0A0G4JCR8	True	False		
A0A0G7ZYU8	True	False		
A0A0G8CLL3	True	True	True	False
A0A0H5CS89	True	True	True	False
A0A0H6BK84	True	True	False	
A0A0I9NPR5	True	True	False	
A0A0J6V898	True	True	True	True
A0A0J6VVN5	True	True	True	True
A0A0K2B175	True	True	True	True
A0A0K2HX31	True	True	False	
A0A0K2XRH9	True	True	True	True
A0A0K3BPM4	True	True	False	
A0A0L1HUB3	True	True	False	
A0A0L6Z980	True	True	True	True
A0A0M2H872	True	True	False	
A0A0M2HDA7	True	True	True	True
A0A0M7LBC1	True	True	True	True
A0A0M7QHG7	True	True	False	
A0A0N0N256	True	True	True	False
A0A0N1GNK6	True	True	False	
A0A0N1ND03	True	True	False	
A0A0N9XAQ2	True	True	False	
A0A0P1DE25	True	True	False	
A0A0P7WDX3	True	True	True	False
A0A0Q0IVH1	True	True	True	True
A0A0S4K8U9	True	True	False	
A0A0T8XJ31	True	True	True	False
A0A0T9WLB5	True	True	False	
A0A0U0H6R2	True	True	True	False
A0A0U0XLD7	True	True	False	
A0A0U0YMT3	True	True	False	
A0A0U1A0U5	True	True	False	
A0A0U1AUR2	True	True	False	
A0A0U1BXY3	True	True	False	
A0A0U5IDX7	True	True	False	
A0A0U5JSS4	True	True	True	False
A0A0U5Q3L4	True	True	True	True
A0A0U5XJG3	True	True	False	
A0A0W0REL6	True	False		
A0A0W0SGJ0	True	True	True	True
A0A0W0VV04	True	True	False	
A1R258	True	True	True	True
A2CCV2	True	True	False	
A2QIB9	True	True	True	True
A2QK04	True	True	False	
A2QTA3	True	True	True	False
A2Z8H1	True	True	False	
A4HXL3	True	True	False	
A4YVE0	True	True	True	True
A5CXB1	True	True	False	
A9D099	True	True	False	
A9KFF0	True	True	False	
A9QAE7	True	True	False	
A9QH69	True	True	True	True
A9WL67	True	True	False	
B0ED25	True	True	False	
B0STP5	True	True	True	True
B1HZY7	True	True	True	True
B2IUG1	True	True	False	
B3R195	True	True	False	
B5WUJ3	True	True	False	
B7N6P4	True	True	True	True
B7QAT8	True	True	True	False
B7QMD1	True	True	False	
B7RR92	True	True	True	True
B8LTH8	True	True	False	
B8LUI6	True	True	False	
B9R845	True	True	False	
B9S0Y9	True	True	True	True
B9ST70	True	True	True	False
B9THK9	True	True	False	
B9WMY6	True	True	True	True
C0XIJ3	True	True	True	True
C3MKW7	True	True	True	True
C4VMW0	True	True	True	True
C4WH31	True	True	True	False
C9Y9E7	True	True	True	True
C9YDG8	True	True	True	True
D3NRV6	True	True	False	
D4MUV9	True	True	True	True
D4N087	True	True	True	True
D4XIR1	True	True	True	True
D5KB61	True	True	False	
D7UQ40	True	False		
E0MUP1	True	True	False	
E1UR06	True	True	True	False
E3J7L2	True	True	False	
F0TBY7	True	True	False	
F4CRU5	True	True	False	
F4G5A4	True	True	True	True
F5SJF3	True	True	False	
F8B3Q8	True	True	False	
F9EP79	True	True	True	True
F9ZK57	True	True	False	
G4CXE1	True	True	False	
G4HXT0	True	True	False	
G6F8W6	True	True	True	True
G6FBF9	True	True	False	
G8Q6J7	True	True	False	
G9A9S4	True	True	False	
H0EAY8	True	True	False	
H0RSU3	True	True	False	
H0SIC1	True	True	True	False
H8W5V1	True	True	True	False
I0K1R9	True	True	False	
I4EXQ4	True	True	False	
I4G7M6	True	True	False	
I7IZ16	True	True	True	False
I7KK15	True	True	True	False
I9UMF5	True	True	False	
J7LVS7	True	True	False	
K0NHF1	True	True	True	True
K4LGZ0	True	True	True	True
K4R330	True	True	True	False
K9U6P8	True	True	False	
L1KIC4	True	True	True	True
M2Y0E7	True	True	False	
M4KHX7	True	True	True	False
M5C2L8	True	True	False	
M5CC52	True	True	False	
M5CRB8	True	True	False	
M5F6A5	True	True	False	
M5FLZ5	True	True	False	
M9TNS6	True	True	False	
N0D146	True	True	False	
P10867	True	True	False	
P56216	True	True	True	True
P93762	True	True	True	True
Q0K750	True	True	True	True
Q1LC23	True	True	False	
Q2LWG4	True	True	False	
Q2YIX9	True	True	True	False
Q3AMA9	True	True	False	
Q4WCK6	True	True	True	True
Q53U15	True	False		
Q5WIP4	True	True	True	True
Q6L2S0	True	True	True	False
Q6MTY6	True	True	True	True
Q7WZ62	True	True	True	False
Q8EEB0	True	False		
Q8J2V8	False			
Q8XW09	True	True	False	
Q96Y72	True	True	True	False
Q9FM84	True	True	False	
R7ZSU7	True	True	False	
S0FWI7	True	True	False	
S5UC18	True	True	False	
S6BUT8	True	True	True	False
S7SZ03	True	True	True	True
U3TSG9	True	True	False	
U4PUB6	True	True	True	False
V9Q617	True	True	False	
W6W585	True	True	True	True
W9N2G4	True	True	True	False
X7YWP4	True	True	False	
