uid	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate
A0A075WBB5	0	6.002818	0	0	0	0
A0A0F7IHH0	0	0.320748	0	1.383962	0	0
A0A0S3QVA7	0	0	0	0	0	0
A0A140L8U4	0	0	0	0	0	0
A0A161QAI9	0	0	0	0	0	0
H6QAW2	0.140301	0	0	0	0.021988	0
Q72G82	0	0	0	10.710514	0	0.111981
Q72LD0	0	0	0	0	0	0
A9QH69	14.346292	44.66542	0	54.759027	5.109224	0.014451
C4VMW0	1.116473	132.246354	0	73.722624	4.452684	1.160184
D4MUV9	3.974203	518.711228	0	1.268281	0	0
control_BSA	0	0	0	0	0	0
patent_seq_mut	0	0	0	0	0	0
