protein	blank	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate
B7N6P4	111	630	1130	68358	154	-212	41
A0A090SES2	379	1756	1675	602	333	40	220
A0A0U5JSS4	547	1846	2534	833	349	69	266
A0A0J6V898	527	1918	2120	936	428	52	446
A0A0L6Z980	227	3158	2703	418	130	240	33
D4MUV9	314	4018	85660	381	370	441	130
D4XIR1	675	3120	2803	1173	3793	243	785
K0NHF1	771	2763	3632	1105	884	309	620
G6F8W6	822	1659	3506	902	244	-124	709
A0A085FLP7	648	3610	3395	721	254	219	266
Q5WIP4	1098	2046	6232	1353	773	93	1768
D4N087	716	2866	3100	973	2102	240	406
K4LGZ0	715	1523	3598	1136	661	-199	661
M4KHX7	572	2054	2726	1108	518	-1	536
A0A073CBY9	1392	2415	3800	1537	848	179	1017
A4YVE0	412	2788	4058	5222	2882	177	2802
A0A0W0SGJ0	316	3488	2931	502	372	273	118
F4G5A4	1062	3916	7394	1254	1000	428	758
A0A087D1R1	432	4996	6080	70470	49461	449	3082
B9ST70	575	1978	3514	772	472	-60	462
C0XIJ3	1318	3810	5836	1426	746	397	1004
B1HZY7	756	5650	14472	20294	126797	13507	68114
C9Y9E7	435	5027	11787	5610	16348	2407	12137
Q96Y72	538	2634	2764	588	145	136	208
S6BUT8	1267	3462	2407	900	364	159	486
Q6L2S0	734	2982	2107	530	-374	164	101
A0A0K2XRH9	360	4071	2690	589	186	263	94
A0A087RXW1	290	2602	2936	402	118	45	124
I7IZ16	536	3530	2878	752	358	65	345
B7RR92	19	3803	2435	285	28	-67	224
Q0K750	855	5168	2474	1057	366	247	604
C4VMW0	976	7779	64539	1918	41213	3073	2977
W6W585	1979	2991	6158	2136	2877	1812	2906
BSA_control	336	2323	2847	621	184	-244	105
no_protein	0	0	0	0	0	0	0
B7N6P4	181	448	1490	71014	-6	-204	-62
A0A090SES2	459	2017	1636	633	178	171	134
A0A0U5JSS4	688	1780	2314	817	281	187	212
A0A0J6V898	787	2303	2586	936	452	387	497
A0A0L6Z980	295	2715	2405	534	0	467	
D4MUV9	225	4255	91694	512	286	679	56
D4XIR1	1008	3352	2808	1166	3633	451	565
K0NHF1	659	2556	2922	1130	686	253	329
G6F8W6	803	1685	2374	1060	517	87	488
A0A085FLP7	353	3520	2934	869	124	391	172
Q5WIP4	1087	1861	5622	1389	694	297	1578
D4N087	757	2800	3284	1053	1730	524	281
K4LGZ0	843	1591	3200	1274	568	8	498
M4KHX7	784	1877	2557	1118	481	105	380
A0A073CBY9	1340	2252	3594	1477	956	292	874
A4YVE0	468	2349	3138	5754	2688	256	2317
A0A0W0SGJ0	364	2983	2373	664	273	273	100
F4G5A4	1033	3603	6986	1620	682	504	569
A0A087D1R1	333	5171	4321	76794	45884	595	2224
B9ST70	701	1919	2949	977	353	55	254
C0XIJ3	1307	3376	5374	1618	612	505	772
B1HZY7	893	5927	15252	19321	123730	15392	74513
C9Y9E7	387	5820	10566	6134	12045	3072	12606
Q96Y72	473	2795	2280	685	48	115	52
S6BUT8	1144	3448	2080	1078	222	116	348
Q6L2S0	620	2717	1788	625	77	-39	224
A0A0K2XRH9	296	4449	2597	766	65	201	-19
A0A087RXW1	320	2685	2173	593	44	43	24
I7IZ16	435	3684	2661	890	278	319	201
B7RR92	71	3600	2182	364	-67	61	-166
Q0K750	859	5276	2217	1229	332	460	286
C4VMW0	844	8040	65280	2121	40158	3472	2324
W6W585	1623	3859	4713	2670	698	1973	2060
BSA_control	347	2100	2632	524	65	-232	8
no_protein	0	0	0	0	0	0	0
B7N6P4	302	425	1540	64889	115	-108	-102
A0A090SES2	524	1070	2197	700	492	115	216
A0A0U5JSS4	698	996	2768	842	378	0	272
A0A0J6V898	596	1208	2646	1089	523	84	315
A0A0L6Z980	312	2962	3114	477	186	305	131
D4MUV9	529	3565	85385	366	518	327	603
D4XIR1	674	3181	3004	1345	4064	140	592
K0NHF1	753	2702	3917	1204	803	303	578
G6F8W6	861	1372	3948	1081	864	-203	487
A0A085FLP7	344	3624	3313	694	276	37	320
Q5WIP4	1214	1802	6504	1330	803	25	1763
D4N087	609	2838	3470	913	1947	148	399
K4LGZ0	932	1450	3856	1328	719	-175	652
M4KHX7	912	1852	2874	1021	670	-75	531
A0A073CBY9	1144	2084	4086	1653	1088	140	1027
A4YVE0	564	2612	4582	4702	3182	96	2632
A0A0W0SGJ0	450	3354	3016	574	474	228	103
F4G5A4	1329	3496	7669	1450	1066	311	826
A0A087D1R1	493	4648	5564	73406	52910	363	3107
B9ST70	721	1850	3410	802	546	-157	251
C0XIJ3	1538	3606	5984	1440	916	319	971
B1HZY7	861	5206	12286	19644	127246	11589	78456
C9Y9E7	282	5026	12196	5384	12792	2284	14414
Q96Y72	480	2406	2852	545	308	-45	76
S6BUT8	1074	3472	2649	986	422	96	262
Q6L2S0	578	2732	2140	484	184	-52	159
A0A0K2XRH9	414	3774	2650	582	251	47	164
A0A087RXW1	369	2661	3032	473	219	-228	120
I7IZ16	605	3088	3074	798	400	-91	380
B7RR92	89	3377	2674	305	102	-200	-16
Q0K750	940	4474	2518	854	527	321	590
C4VMW0	1021	7269	65065	1822	43462	2681	2883
W6W585	2041	3580	6285	2237	2948	1561	2964
BSA_control	302	2150	2941	446	203	-171	83
no_protein	0	0	0	0	0	0	0
