protein	blank	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate
A0A011QK89	1210	2317	2783	8874	287	264	548
A0A077SBA9	1234	2172	3339	3359	411	330	806
A0A090SY56	962	2247	2138	859	253	363	529
A0A0B2PSV8	998	2467	3476	968	268	260	586
A0A0D6I3R9	1381	2875	3608	1396	719	348	848
A0A0H2LZ12	1468	2316	2359	1231	620	418	824
A0A0J1FVG5	1061	2020	3007	1380	524	186	677
A0A0K2AU21	1176	1565	3926	1059	340	142	545
A0A0P7Z009	1142	2408	2542	971	205	320	617
A0A0R3K2G2	2746	3321	4259	2320	996	734	1233
A0A0U6K8E5	826	1645	2007	7282	155	158	392
B8MKR3	1558	7932	9067	4258	5892	502	1896
B8MMC0	1172	2063	3331	1123	289	180	696
B9NTK7	1217	2268	3451	1176	489	118	841
C2K1F0	1584	3919	45434	1408	8780	488	1480
D1A2X8	969	2939	2558	884	233	224	502
D8N7C7	1110	3023	2910	1136	461	138	730
E6SCX5	1224	2051	14351	1447	11425	180	13953
F6CI10	1529	2391	1879	1354	488	255	821
F9UTP6	1236	2020	3399	1031	465	258	708
F9Y7M7	960	1729	2082	786	128	47	430
I7HM50	1128	2355	2210	899	323	110	597
M7MTF7	1349	2063	3070	934	416	163	726
Q15TJ7	1016	2101	2470	960	483	164	541
Q5FIR1	1300	2384	2434	1014	297	110	789
Q5WFZ3	945	1801	2343	868	215	91	554
Q92NB8	1080	1917	2875	1015	285	226	593
R0EVG9	886	1405	1987	30898	252	18	378
S2DJ52	781	1377	2102	12554	225	-36	356
U2ENB5	1170	2015	3282	1380	468	82	701
W6I5R7	1306	2672	3343	1099	559	158	808
Q6L2S1	1013	1960	2550	1007	407	70	665
X8B5I2	1085	2524	2870	1115	411	54	600
BSA_control	879	2953	3090	1609	672	291	642
no_protein	0	0	0	0	0	0	0
A0A011QK89	665	2126	2841	7519	487	117	547
A0A077SBA9	844	2412	3284	4200	582	259	672
A0A090SY56	473	2412	2224	596	463	205	534
A0A0B2PSV8	688	2803	3323	740	478	237	566
A0A0D6I3R9	921	2658	3595	911	984	409	872
A0A0H2LZ12	941	2403	1780	827	946	312	676
A0A0J1FVG5	1103	2055	3151	785	862	305	728
A0A0K2AU21	841	1839	4001	880	711	60	624
A0A0P7Z009	755	2411	2557	1127	479	237	483
A0A0R3K2G2	2236	3168	4283	2412	1264	792	1058
A0A0U6K8E5	376	1782	1941	7392	399	119	332
B8MKR3	1275	7723	9348	3615	6086	575	1708
B8MMC0	999	2356	3332	1220	583	119	638
B9NTK7	884	2671	3593	1311	615	53	598
C2K1F0	681	4680	41776	1581	7838	540	1230
D1A2X8	653	3163	2515	941	482	213	407
D8N7C7	972	2715	2764	1172	672	195	598
E6SCX5	772	2286	12999	1919	10911	233	11771
F6CI10	1189	2334	1992	1391	854	135	851
F9UTP6	845	2444	3392	1252	796	164	682
F9Y7M7	684	1918	2201	832	466	28	394
I7HM50	724	2444	1893	1117	539	137	459
M7MTF7	769	2223	2804	1345	595	108	503
Q15TJ7	612	2674	2621	939	855	149	522
Q5FIR1	744	2598	2305	1256	555	219	622
Q5WFZ3	676	2244	2468	1024	512	265	459
Q92NB8	731	2462	2657	1012	528	173	587
R0EVG9	580	1527	2065	28764	502	-41	372
S2DJ52	561	1819	2141	12704	479	77	347
U2ENB5	940	2344	3785	1503	863	219	636
W6I5R7	856	3339	2952	1405	643	257	602
Q6L2S1	741	2467	2719	1179	574	-72	420
X8B5I2	769	2343	2791	1239	708	104	468
BSA_control	740	2292	2549	979	967	84	551
no_protein	0	0	0	0	0	0	0
A0A011QK89	1100	2134	2627	8729	500	537	553
A0A077SBA9	1165	2060	3463	3325	530	174	694
A0A090SY56	877	2470	2457	957	414	165	486
A0A0B2PSV8	973	2380	3405	1016	468	208	470
A0A0D6I3R9	1447	2484	3600	1521	888	340	776
A0A0H2LZ12	1495	2064	2148	1251	958	384	732
A0A0J1FVG5	1175	1871	2985	1399	617	162	609
A0A0K2AU21	1121	1535	3801	1248	621	2	565
A0A0P7Z009	1071	2370	2565	1016	385	192	584
A0A0R3K2G2	2404	3204	4315	2521	1106	713	1073
A0A0U6K8E5	676	1367	1948	7595	290	-23	308
B8MKR3	1509	7635	9184	3716	5565	312	1972
B8MMC0	1268	2086	3339	1172	558	78	632
B9NTK7	1139	2127	3425	1175	606	45	668
C2K1F0	1127	3734	45561	1508	8381	430	1422
D1A2X8	865	3030	2568	908	366	166	448
D8N7C7	1228	2439	2788	1173	625	118	652
E6SCX5	1161	2139	15261	1825	12430	136	12085
F6CI10	1563	2147	1931	1525	753	98	706
F9UTP6	1208	2156	3157	1285	646	213	412
F9Y7M7	871	1694	2068	880	305	-44	396
I7HM50	1157	2436	2140	975	524	88	617
M7MTF7	1240	2160	3111	1177	536	-8	584
Q15TJ7	955	2154	2727	1017	788	144	596
Q5FIR1	1124	2306	2385	1167	556	14	749
Q5WFZ3	1011	2282	2253	1015	438	113	496
Q92NB8	1091	2094	2736	1080	449	142	496
R0EVG9	857	1150	1863	33109	390	-36	437
S2DJ52	917	1546	2141	12932	352	-132	448
U2ENB5	1077	2074	3475	1513	706	25	585
W6I5R7	1423	2752	3284	1221	684	94	740
Q6L2S1	1153	2084	2596	1167	620	-170	569
X8B5I2	1108	2102	2904	1056	577	-43	545
BSA_control	876	2182	2887	1183	857	244	457
no_protein	0	0	0	0	0	0	0
