node	synthesized	substrate_available	rep1_soluble	rep1_active	rep2_soluble	rep2_active	rep3_soluble	rep3_active	total_soluble	total_active
A0A011R8E6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A073CBY9	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A085FLP7	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A087D1R1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
A0A087RXW1	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE	TRUE	TRUE
A0A090SES2	TRUE	TRUE	TRUE	FALSE	FALSE	NA	FALSE	NA	FALSE	NA
A0A0A1ZY49	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0A8UQ43	TRUE	TRUE	FALSE	NA	TRUE	TRUE	FALSE	NA	FALSE	NA
A0A0D6UPR3	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
A0A0F0C8R9	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0F4YNJ0	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0F8B4A0	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0H6BK84	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0J6V898	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	NA	TRUE	FALSE
A0A0K2XRH9	TRUE	TRUE	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA
A0A0K3BPM4	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0L6Z980	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A0M2H872	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0M7LBC1	TRUE	TRUE	FALSE	NA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
A0A0N1ND03	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0P1DE25	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0P7WDX3	TRUE	TRUE	FALSE	NA	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A0U5JSS4	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
A0A0U5XJG3	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0W0SGJ0	TRUE	TRUE	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA
A0A0W0VV04	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A2CCV2	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A4YVE0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
A5CXB1	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A9D099	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A9QH69	TRUE	TRUE	FALSE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
B1HZY7	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
B7N6P4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
B7QAT8	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
B7RR92	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE
B8LUI6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B9S0Y9	TRUE	TRUE	FALSE	NA	TRUE	TRUE	FALSE	NA	FALSE	NA
B9ST70	TRUE	TRUE	TRUE	FALSE	FALSE	NA	FALSE	NA	FALSE	NA
C0XIJ3	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	NA	TRUE	FALSE
C4VMW0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
C9Y9E7	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
D3NRV6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
D4MUV9	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
D4N087	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
D4XIR1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
F0TBY7	TRUE	TRUE	FALSE	NA	FALSE	NA	TRUE	FALSE	FALSE	NA
F4CRU5	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
F4G5A4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	FALSE
F5SJF3	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
G4CXE1	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
G6F8W6	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
G6FBF9	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
H0RSU3	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
H0SIC1	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
I4G7M6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
I7IZ16	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
I9UMF5	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
K0NHF1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
K4LGZ0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
M2Y0E7	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
M4KHX7	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
Q0K750	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	NA	TRUE	FALSE
Q2LWG4	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
Q5WIP4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Q6L2S0	TRUE	TRUE	TRUE	FALSE	FALSE	NA	FALSE	NA	FALSE	NA
Q8XW09	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
Q96Y72	TRUE	TRUE	TRUE	FALSE	FALSE	NA	FALSE	NA	FALSE	NA
S0FWI7	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
S5UC18	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
S6BUT8	TRUE	TRUE	TRUE	FALSE	FALSE	NA	TRUE	FALSE	TRUE	FALSE
S7SZ03	TRUE	TRUE	FALSE	NA	TRUE	TRUE	FALSE	NA	FALSE	NA
U4PUB6	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
W6W585	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE
X7YWP4	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
