name	synthesized	substrate_available	rep1_soluble	rep1_active	rep2_soluble	rep2_active	rep3_soluble	rep3_active	total_soluble	total_active
A0A011QK89	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE
A0A021XIZ9	TRUE	TRUE	FALSE	NA	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
A0A077SBA9	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
A0A090SY56	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
A0A0B2PSV8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
A0A0D6I3R9	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A0H2LZ12	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A0J1FVG5	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	FALSE
A0A0K2AU21	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	NA	TRUE	FALSE
A0A0N7HBH8	TRUE	TRUE	FALSE	NA	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A0P7Z009	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A0R3K2G2	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
A0A0T9WB25	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
A0A0U5NXR6	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
A0A0U6K8E5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	NA	TRUE	TRUE
A0A0W0YYP4	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B7PPE8	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
B8MKR3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
B8MMC0	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
B9NTK7	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
C2K1F0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
D1A2X8	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
D8N7C7	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	FALSE
E6SCX5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
F6CI10	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
F9UTP6	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
F9Y7M7	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
G0AHZ0	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
H5VAZ0	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
I4H4C1	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
I7HM50	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	FALSE
M5FIH9	TRUE	TRUE	FALSE	NA	TRUE	FALSE	FALSE	NA	FALSE	NA
M7MTF7	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
Q0I8G2	TRUE	TRUE	FALSE	NA	FALSE	NA	TRUE	FALSE	FALSE	NA
Q0IDM6	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
Q15TJ7	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
Q2KC17	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
Q5FIR1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
Q5WFZ3	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
Q6L2S1	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	NA
Q92NB8	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
R0EVG9	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
S2DJ52	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
U2ENB5	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
U6EB70	TRUE	TRUE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
V6AP96	TRUE	TRUE	FALSE	NA	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
W6I5R7	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
X8B5I2	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	NA	TRUE	FALSE
