uid	pfam
A0A0U5F9V4	PF01565,PF02913
S6DC87	PF01565,PF02913
D4XA33	PF01565
D4XA32	PF01565,PF02913
D4XIR1	PF01565,PF02913
A0A0M7N4Q2	PF01266
A0A0M7MCW0	PF01266
A0A0M7LBC1	PF01266
A0A0M9IQE6	PF01266
A0A0M7BVQ0	PF01266
A0A0M7BTY0	PF01266
A0A0M7NE14	PF01266
A0A0M7DGE4	PF01266
A0A0M7G9C4	PF01266
A0A0M7DDG3	PF01266
E3HEK0	PF01565
E3HEJ9	PF01565,PF02913
B9MCK9	PF01070
A1W3D8	PF01070
A1WAZ5	PF01070
A0A0N0MLM2	PF01070
A0A0N1ND03	PF01070
A0A0J0UTH7	PF01565,PF02913
A0A0N1G0C7	PF01070
A0A0N1GGN2	PF01070
A0A0G3V1N4	PF01070
A0A0G3UZA1	PF01565,PF02913
A0A0N0MSK1	PF01070
W7ILH9	PF01266
G8SBJ3	PF01565,PF02913
G8SIT6	PF01070
R9PTS0	PF01266
A0A0D6G466	PF01266
F4G5A4	PF01070
A0A0H5CSE9	PF01266
A0A0N0XID0	PF01266
K7WJD0	PF01565,PF02913
Q3MD83	PF01070
C7HSG4	PF01565,PF02913
D4MUV9	PF01565,PF02913
D4MUZ9	PF01565,PF02913
D4N087	PF01565,PF02913
A0A0U5BDM6	PF01266
Q9LRS0	PF01070
Q24JJ8	PF01070
Q9LRR9	PF01070
O49506	PF01070
Q9LJH5	PF01070
A0A075WBB5	PF01565,PF02913
E6L309	PF01070
A8EVV7	PF01565,PF02913
E6L3P7	PF01565,PF02913
Q5P1Z3	PF01565,PF02913
Q5P8S5	PF01565,PF02913
Q5P1Z4	PF01565,PF02913
M7MTF7	PF01565,PF02913
A0A024GXF2	PF01266
H1WCY2	PF01565
A2R0X2	PF01070
A2QBA3	PF01070
A1K321	PF01070
G8AJW6	PF01565
D3NRV6	PF01565,PF02913
I2C8Q5	PF01565,PF02913
A0A072P3D3	PF01565,PF02913
Q81GB1	PF01565,PF02913
Q81AQ6	PF01565,PF02913
D8H685	PF01565,PF02913
Q63E73	PF01565,PF02913
Q5WFZ5	PF01565,PF02913
Q5WIP4	PF01565,PF02913
Q5WFZ3	PF01565
Q5WCX8	PF01565,PF02913
Q5WAP2	PF01565,PF02913
K1L399	PF01266
A0A0D6T4H7	PF01266
R9TT95	PF01565,PF02913
A0A0S3P0I5	PF01565,PF02913
A0A0H4NZY9	PF01266
A0RBC1	PF01565,PF02913
Q3EWG9	PF01565,PF02913
Q6HLP8	PF01565,PF02913
A0A0A7DLL0	PF01070
V4Y1L5	PF01266
A0A086ZI34	PF01070
A0A087D1R1	PF01070
A0A087E136	PF01070
A0A087EIS6	PF01070
A0A0H5BPQ4	PF01266
H6RSV4	PF01070
H6RN14	PF01070
A0A0H4W4S4	PF01266
A0A0E7UI28	PF01266
A9IQN3	PF01565,PF02913
A9IQN0	PF01565
Q3ZBW2	PF01070
A4Z0V5	PF01565,PF02913
A4YVE0	PF01070
H0T9T4	PF01565,PF02913
H0RSU3	PF02754
H0SX50	PF01565
H0RVQ0	PF01565,PF02913
H0TJ90	PF01565
H0SLS5	PF02754
H0RUW7	PF01070
A4Z0U9	PF01565
H0TLA1	PF02754
H0TJ83	PF01565,PF02913
H0TEW0	PF01070
A5ECH8	PF01565,PF02913
H0SIB8	PF01565,PF02913
H0T8W2	PF01070
H0SHM2	PF01070
H0SIC1	PF01565
H0RVQ4	PF01565
A5ECH9	PF01565
A5EK29	PF01070
D4YN11	PF02754
Q2YII5	PF01565,PF02913
E0DQ45	PF01565,PF02913
Q8YI46	PF01565,PF02913
Q8YB37	PF01565,PF02913
Q8YB39	PF01565,PF02913
E2PL66	PF01565,PF02913
A0A0P0RP68	PF01565,PF02913
A0A0P0R820	PF01565,PF02913
A0A0P0RIU5	PF01565,PF02913
A0A0H2XTD0	PF01070
A0A0B6RP43	PF01565
A0A0H3KC56	PF01565
A0A0H3KGZ2	PF01565,PF02913
Q3JNY8	PF01565
A0A095S1N0	PF01266,PF39027
Q3JHC3	PF02754
A0A0E1S6K3	PF01565,PF02913
A0A0P0GUD6	PF01266
Q3JNZ0	PF01565,PF02913
A0A0E1SA20	PF01565
Q3JQM9	PF02754
E5AM76	PF01565,PF02913
E5AM77	PF01565,PF02913
E5AM75	PF01565
Q13YT9	PF01565,PF02913
Q145G9	PF01565
Q145G8	PF01565,PF02913
A0A0R3JS23	PF01266,PF04324
A0A0R3K2G2	PF01266,PF04324
K9PNA8	PF01070
T2LJU1	PF01565,PF02913
A0A0D6G8J9	PF01565,PF02913
M5IPU5	PF01565,PF02913
A0A080LV49	PF01266
A0A011R8E6	PF01266
A0A080M6P8	PF01266
A0A011MGF2	PF01266
A0A011PT91	PF01266
A0A011QMR4	PF01266
A0A011MFG6	PF01266
A0A011QCS6	PF01266
A0A011QK89	PF01266
E6N7D7	PF01565,PF02913
E6N788	PF01565,PF02913
A0A0T5ZJ82	PF01565,PF02913
A0A0T5ZUA2	PF01565,PF02913
W8GFP9	PF01266
Q1PW53	PF01565,PF02913
M9SFA6	PF01565,PF02913
D5MNA0	PF01565,PF02913
A0A0T6AJI7	PF01565,PF02913
A0A0T6AB85	PF01565,PF02913
F4BMG1	PF01565,PF02913
F4BR76	PF01070
