uid	pfam
A0A173TSE9	PF01266,PF04324
A0A1J6JLD1	PF00732,PF05199
T2M2J4	PF00732,PF05199
K4A650	PF00732,PF05199
A0A097PUG9	PF01565
A0A0K3BDY4	PF00732,PF05199
A0A2I2KE68	PF00732,PF05199
W9WTM9	PF00732,PF05199
Q01KC2	PF01070
A0A0U5G937	PF00732,PF05199
S8AKR9	PF00732,PF05199
A0A1E4SBF7	PF00732,PF05199
A0A1W5DIM9	PF01266
A0A084FW90	PF00732,PF05199
A0A0D8HV00	PF01565,PF04030
Q9Z4X8	PF01070
A0A151RP30	PF00732,PF05199
A0A0H5CFR9	PF05199
A1W3D8	PF01070
A0A0K3AXY2	PF05199
A0A0M2H872	PF01266
A0A218N0E8	PF00732,PF05199
A0A2H1KXK9	PF02913
A0A1V5THA4	PF01266
A2SM03	PF01565
B7N6P4	PF01266
C8CCV9	PF01565,PF04030
V4P767	PF00732,PF05199
A0A0E3V1E7	PF01565,PF02913
U4QLZ7	PF01565
A0A2G9I4F8	PF05199
F4RUZ8	PF00732,PF05199
A0A2N9BBV0	PF01266
A0A2T7YL45	PF01565,PF04030
A0A1V6NUK0	PF00732,PF05199
F4CYK6	PF01565,PF04030
A0A1Y1HU14	PF00732,PF05199
W4A4P8	
A0A0E0U9H7	PF01565,PF04030
F5SJF5	PF01565,PF02913
A0A0A7DLL0	PF01070
A0A1D7VZD8	PF01266
A0A1X2GKR8	PF00732,PF05199
B9ST75	PF01070
B5MGF8	PF01565,PF09129
A0A109YLD8	PF01168
A0A173SH13	PF01266,PF04324
A0A2H6AVQ2	PF01266
A0A067KVY5	PF00732,PF05199
A0A1V5GPQ7	PF01266
A0A2R8A216	PF01266,PF16901
S7WFA4	PF01266
A0A0N1GNJ2	PF01565,PF04030
A0A0J6Y3T5	PF01266
A0A2X2FB35	PF01565,PF04030
A0A178XCF1	PF00890,PF05199
B7RMU4	PF02754,PF12838
A0A1C6DBJ8	PF01266,PF04324
A2R0X2	PF01070
M7MTF7	PF01565,PF02913
K4LGZ0	PF01565,PF02913
A0A2P9FFW7	PF00890,PF05199,PF06645
A0A2H2ZAG5	PF00732,PF05199
B8MDS4	PF00732,PF05199
A0A098BNE2	PF01266,PF05199
F7W6K4	PF00732,PF05199
A0A2H5YSZ7	PF01266
A0A132Z6K9	PF01266,PF16901
F0EWJ6	PF01565,PF02754,PF02913,PF11880,PF12447,PF13183
Q70FC9	PF00732,PF05199
A0A1Y2NU87	PF01266
A0A2P8AUK3	PF01070
A0A1E1LPX8	PF00732,PF05199
R8BTZ6	PF00732,PF05199
A0A151R600	PF01070
D8LSB4	PF01070
A0A1C6IN19	PF01266,PF04324
A0A1C4HGT0	PF00732,PF05199
D6TSE4	PF01565,PF04030
Q6MTY6	PF01266
S5YQ45	PF01565,PF04030
A0A117EH43	PF01565,PF04030
A3P5J0	PF00109,PF00550,PF02801,PF08659,PF16197
A0A0H5CZB7	PF00732,PF05199
A0A2X4BD53	PF01565,PF02913
W7X618	PF01266
A0A1Y1YF18	PF00732,PF05199
I9UMF5	PF02754
W4A1K2	PF01070
A0A151SWE5	PF01565,PF04030
A0A0U3IJJ5	PF01266
D6U4K8	PF01070
Q9P8D9	PF00732,PF05199
A0A2X1RTZ9	PF01266,PF16901
A0A0W0Y368	PF01070
X8CBV4	
A0A1C0U3C0	PF01266
I0JRU6	PF01565,PF02913
K9NL06	PF01565,PF02913
N4VFP3	PF00732,PF05199
G2IPH4	PF01565
A0A200PVV8	PF00732,PF05199
A0A1X2I3H7	PF00732,PF05199
A5LGE7	PF00732
A0A1V9Z3L0	PF00732,PF05199
F7PU87	PF01565,PF02913
A0A178XDS8	PF00732,PF00890,PF05199
D4MUV9	PF01565,PF02913
A0A364NAZ9	PF00732,PF05199
Q82T12	PF01070
Q6CG88	PF01565,PF04030
I7LQS4	PF01266,PF16901
A0A2S6SRY9	PF01266
A0A068CB13	PF00732,PF05199
A0A0D1XQG0	PF00732,PF05199
C0RGR6	PF08543
X5JLD8	PF01070
A0A1R3ULH7	PF01168
A9RG13	PF00732,PF05199
T0UDC4	PF01266,PF16901
A0A150MX23	PF01266
A0A1E7WZH1	PF00890,PF05199
A0A151SI04	PF00732,PF05199
F4CRU5	PF01070
A0A0N8W0B7	PF00732,PF05199
A0A0J6VPQ1	PF00732,PF05199
A0A0N0MSK1	PF01070
L7ESE9	PF01565,PF04030
A0A024H7W1	PF01565,PF04030
D2B5I4	PF01565,PF04030
B0RGH2	PF01565,PF04030
A0A143QKM5	PF00732,PF05199
N0D146	PF05199
B6B2K9	PF02754,PF12838
A0A0D8BEZ6	PF01565,PF04030
A0A1C5M0D3	PF01266,PF04324
A0A2G9G3E7	PF07250,PF09118
A0A239WLK7	PF01266,PF16901
A5E102	PF00732,PF05199
A0A0S4XQE0	PF01565,PF02913
A0A197JDG0	PF00732,PF05199
Q3MD83	PF01070
A0A1N0U2B9	PF00732,PF05199
A0A0W0RD55	PF00732,PF05199,PF12697
A0A2N5N181	PF01565,PF04030
A0A061HAK4	PF00732,PF05199
D5KB61	PF00732,PF05199
A0A2X2C3V6	PF01266
A0A1L9KRL5	PF01266
A0A095S1N0	PF01266,PF39027
A0A173ZCF0	PF01266,PF04324
A0A1V6GZY0	PF01266,PF04324
G8Q6J7	PF01565,PF04030
C2K188	PF01266,PF16901
D5WMI0	PF00652,PF09118
A0A0E0R0B9	PF00732,PF05199
G3AJP0	PF00732,PF05199
A0A1I9Z8D8	PF00732,PF05199
A2SM04	PF02754,PF12838
Q3ZBW2	PF01070
A0A2K3MM73	PF00732,PF05199
A0A0M7QHG7	PF01734
H0RSU3	PF02754
A0A177HVI8	PF01266
A9WL67	PF07859
A0A0U5XJG3	PF01266
M5TVT8	PF01565,PF13460
A0A143PRN4	PF00732
A0A0F4FW78	PF01565
A9S535	PF00732,PF05199
P12676	PF00732,PF05199
A0A142YAP2	PF01266
A0A2I2KIL2	PF01070
A0A2P5HLC2	PF00732,PF05199
Q3J7P4	PF01266,PF16901
A0A174G332	PF01266,PF04324
K0MXH5	PF01070
A0A0P0RIU5	PF01565,PF02913
A0A0M9UDV7	PF05199
A0A0L0P0A5	PF00732,PF05199
A0A231H1D7	PF01266,PF05199
Q44467	PF01070
A0A2X2FIJ0	PF01266,PF04324
X8CCW7	PF01070
A0A077R1W7	PF00732,PF05199
A0A0U5F2G9	PF01565,PF04030
A0A2H5ZL71	PF01266
A0A2H5Z7V6	PF01266
A0A0M2HW49	PF01565,PF04030
A0A1R3KXY5	PF00732,PF05199
A0A316UPL6	PF00732,PF05199
S0FWI7	PF01266
Q55020	PF05199
A0A174JHS2	PF01266,PF04324
A0A0U5P358	PF01266,PF04324
