uid	taxid	organism	superkingdom	ph	temperature	ec	synthesized	substrate_available	total_soluble	total_active	batch	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate	in_brenda	in_swissprot	pfam	max_database_sim	max_active_sim	max_all_sim
Q9LRS0	3702.0	Arabidopsis thaliana	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Yes	PF01070	100.0	38.5	100.0
Q9NYQ3	9606.0	Homo sapiens	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	PF01070	100.0	37.7	100.0
P37339	83333.0	Escherichia coli	Bacteria	7.01	36.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	17.1	98.6	98.6
Q24JJ8	3702.0	Arabidopsis thaliana	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	No	PF01070	100.0	36.6	100.0
B8AUI3	39946.0	Oryza sativa	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	82.9	37.8	82.9
Q10CE4	39947.0	Oryza sativa	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	PF01070	100.0	37.1	100.0
Q6YT73	39947.0	Oryza sativa	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	89.7	37.6	89.7
Q9LRR9	3702.0	Arabidopsis thaliana	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	PF01070	100.0	37.9	100.0
Q7XPR4	39947.0	Oryza sativa	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF00929,PF01070	70.5	36.6	70.5
O49506	3702.0	Arabidopsis thaliana	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Yes	PF01070	100.0	37.2	100.0
Q8H3I4	39947.0	Oryza sativa	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Yes	PF01070	100.0	40.2	100.0
Q9LJH5	3702.0	Arabidopsis thaliana	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	No	PF01070	100.0	36.4	100.0
P05414	3562.0	Spinacia oleracea	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Yes	PF01070	100.0	37.7	100.0
Q07523	10116.0	Rattus norvegicus	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	PF01070	100.0	39.0	100.0
Q3ZBW2	9913.0	Bos taurus	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	82.4	37.9	82.4
Q9WU19	10090.0	Mus musculus	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	PF01070	100.0	38.2	100.0
Q9UJM8	9606.0	Homo sapiens	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	PF01070	100.0	36.9	100.0
B8B8K5	39946.0	Oryza sativa	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	98.9	39.4	98.9
B8AKX6	39946.0	Oryza sativa	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	100.0	37.1	100.0
Q9NYQ2	10090.0	Mus musculus	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	Yes	PF01070	100.0	38.7	100.0
Q01KC2	39946.0	Oryza sativa	Eukaryota	NA	NA	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	70.5	36.6	70.5
Q54E41	44689.0	Dictyostelium discoideum	Eukaryota	NA	23.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	49.4	36.8	49.4
A0A0G3SMM4	615.0	Serratia marcescens	Bacteria	7.07	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.3	98.0	98.0
A0A0J5CZZ1	615.0	Serratia marcescens	Bacteria	7.07	29.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.1	98.0	98.0
A0A0A8UL03	449.0	Legionella hackeliae	Bacteria	6.9	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01070	38.1	41.3	41.3
A0A0E1W250	320371.0	Burkholderia pseudomallei	Bacteria	NA	37.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF00109,PF00550,PF02801,PF08659,PF16197	9.9	10.4	10.4
A0A090VAN6	67824.0	Citrobacter farmeri	Bacteria	7.0	33.0	1.1.3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	PF01266	16.4	90.5	90.5
