uid	ec	organism	organism_id
Q8WZ42	2.7.11.1	Homo sapiens (Human)	9606
Q12933	2.3.2.27	Homo sapiens (Human)	9606
P14373	2.3.2.27	Homo sapiens (Human)	9606
Q8TBB1	2.3.2.27	Homo sapiens (Human)	9606
P00533	2.7.10.1	Homo sapiens (Human)	9606
Q96HA8	3.5.1.122	Homo sapiens (Human)	9606
Q96EB6	2.3.1.286	Homo sapiens (Human)	9606
P38398	2.3.2.27	Homo sapiens (Human)	9606
Q5S007	2.7.11.1	Homo sapiens (Human)	9606
P31749	2.7.11.1	Homo sapiens (Human)	9606
P60484	3.1.3.16	Homo sapiens (Human)	9606
O60260	2.3.2.31	Homo sapiens (Human)	9606
P13569	5.6.1.6	Homo sapiens (Human)	9606
Q9UJV3	2.3.2.27	Homo sapiens (Human)	9606
Q09472	2.3.1.48	Homo sapiens (Human)	9606
P12931	2.7.10.2	Homo sapiens (Human)	9606
Q13315	2.7.11.1	Homo sapiens (Human)	9606
P35670	7.2.2.8	Homo sapiens (Human)	9606
P00519	2.7.10.2	Homo sapiens (Human)	9606
P11362	2.7.10.1	Homo sapiens (Human)	9606
Q923E4	2.3.1.286	Mus musculus (Mouse)	10090
P0C6X7	3.4.19.12	Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus)	694009
P21802	2.7.10.1	Homo sapiens (Human)	9606
P04585	3.4.23.16	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)	11706
P06213	2.7.10.1	Homo sapiens (Human)	9606
O00571	3.6.4.13	Homo sapiens (Human)	9606
P10721	2.7.10.1	Homo sapiens (Human)	9606
P04626	2.7.10.1	Homo sapiens (Human)	9606
P04062	3.2.1.45	Homo sapiens (Human)	9606
Q13526	5.2.1.8	Homo sapiens (Human)	9606
Q00987	2.3.2.27	Homo sapiens (Human)	9606
P07949	2.7.10.1	Homo sapiens (Human)	9606
Q9BXM7	2.7.11.1	Homo sapiens (Human)	9606
P63000	3.6.5.2	Homo sapiens (Human)	9606
P42345	2.7.11.1	Homo sapiens (Human)	9606
Q15125	5.3.3.5	Homo sapiens (Human)	9606
P55072	3.6.4.6	Homo sapiens (Human)	9606
P00520	2.7.10.2	Mus musculus (Mouse)	10090
P36406	2.3.2.27	Homo sapiens (Human)	9606
P61586	3.6.5.2	Homo sapiens (Human)	9606
P09619	2.7.10.1	Homo sapiens (Human)	9606
Q08211	3.6.4.13	Homo sapiens (Human)	9606
P78363	7.6.2.1	Homo sapiens (Human)	9606
P00441	1.15.1.1	Homo sapiens (Human)	9606
Q03164	2.1.1.354	Homo sapiens (Human)	9606
P31750	2.7.11.1	Mus musculus (Mouse)	10090
P56524	3.5.1.98	Homo sapiens (Human)	9606
O00429	3.6.5.5	Homo sapiens (Human)	9606
P28482	2.7.11.24	Homo sapiens (Human)	9606
Q8IXJ6	2.3.1.286	Homo sapiens (Human)	9606
P25786	3.4.25.1	Homo sapiens (Human)	9606
P60953	3.6.5.2	Homo sapiens (Human)	9606
Q5S006	2.7.11.1	Mus musculus (Mouse)	10090
P53350	2.7.11.21	Homo sapiens (Human)	9606
P18266	2.7.11.26	Rattus norvegicus (Rat)	10116
O14746	2.7.7.49	Homo sapiens (Human)	9606
Q9UBP0	5.6.1.1	Homo sapiens (Human)	9606
P08581	2.7.10.1	Homo sapiens (Human)	9606
P06280	3.2.1.22	Homo sapiens (Human)	9606
Q06124	3.1.3.48	Homo sapiens (Human)	9606
Q92993	2.3.1.48	Homo sapiens (Human)	9606
P33897	7.6.2.4	Homo sapiens (Human)	9606
P21803	2.7.10.1	Mus musculus (Mouse)	10090
Q9WV60	2.7.11.26	Mus musculus (Mouse)	10090
P08631	2.7.10.2	Homo sapiens (Human)	9606
Q8IUQ4	2.3.2.27	Homo sapiens (Human)	9606
P07948	2.7.10.2	Homo sapiens (Human)	9606
P09874	2.4.2.30	Homo sapiens (Human)	9606
Q9UGI0	3.4.19.12	Homo sapiens (Human)	9606
O95477	7.6.2.1	Homo sapiens (Human)	9606
Q9Y4K3	2.3.2.27	Homo sapiens (Human)	9606
O08586	3.1.3.16	Mus musculus (Mouse)	10090
O00206	3.2.2.6	Homo sapiens (Human)	9606
Q9QUK6	3.2.2.6	Mus musculus (Mouse)	10090
P05480	2.7.10.2	Mus musculus (Mouse)	10090
Q06187	2.7.10.2	Homo sapiens (Human)	9606
P49841	2.7.11.26	Homo sapiens (Human)	9606
P36897	2.7.11.30	Homo sapiens (Human)	9606
P35968	2.7.10.1	Homo sapiens (Human)	9606
Q9WUD9	2.7.10.2	Rattus norvegicus (Rat)	10116
P00439	1.14.16.1	Homo sapiens (Human)	9606
P04629	2.7.10.1	Homo sapiens (Human)	9606
P06241	2.7.10.2	Homo sapiens (Human)	9606
Q9JK66	2.3.2.31	Rattus norvegicus (Rat)	10116
P31327	6.3.4.16	Homo sapiens (Human)	9606
P23396	4.2.99.18	Homo sapiens (Human)	9606
Q9HC98	2.7.11.1	Homo sapiens (Human)	9606
P03314	3.4.21.91	Yellow fever virus (strain 17D vaccine) (YFV)	11090
P29476	1.14.13.39	Rattus norvegicus (Rat)	10116
P37023	2.7.11.30	Homo sapiens (Human)	9606
Q92793	2.3.1.48	Homo sapiens (Human)	9606
Q05397	2.7.10.2	Homo sapiens (Human)	9606
P54646	2.7.11.1	Homo sapiens (Human)	9606
P00740	3.4.21.22	Homo sapiens (Human)	9606
P08684	1.14.14.1	Homo sapiens (Human)	9606
Q13547	3.5.1.98	Homo sapiens (Human)	9606
Q9JLN9	2.7.11.1	Mus musculus (Mouse)	10090
Q9P2D1	3.6.4.12	Homo sapiens (Human)	9606
P10253	3.2.1.20	Homo sapiens (Human)	9606
P04049	2.7.11.1	Homo sapiens (Human)	9606
Q16539	2.7.11.24	Homo sapiens (Human)	9606
Q13546	2.7.11.1	Homo sapiens (Human)	9606
P49615	2.7.11.1	Mus musculus (Mouse)	10090
O60674	2.7.10.2	Homo sapiens (Human)	9606
P47196	2.7.11.1	Rattus norvegicus (Rat)	10116
P03300	3.4.22.29	Poliovirus type 1 (strain Mahoney)	12081
Q14289	2.7.10.2	Homo sapiens (Human)	9606
P70600	2.7.10.2	Rattus norvegicus (Rat)	10116
P03366	3.4.23.16	Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1)	11678
P78329	1.14.14.1	Homo sapiens (Human)	9606
Q16512	2.7.11.13	Homo sapiens (Human)	9606
Q91XB0	3.1.11.2	Mus musculus (Mouse)	10090
Q02763	2.7.10.1	Homo sapiens (Human)	9606
P16234	2.7.10.1	Homo sapiens (Human)	9606
O96017	2.7.11.1	Homo sapiens (Human)	9606
Q14191	3.6.4.12	Homo sapiens (Human)	9606
Q15831	2.7.11.1	Homo sapiens (Human)	9606
Q12797	1.14.11.16	Homo sapiens (Human)	9606
P25911	2.7.10.2	Mus musculus (Mouse)	10090
